id|English|Pinglish|Farsi|Category|Difficulty
171|husband of paternal aunt|showharamme|شوهرعمه|Family|Easy
172|stepfather|nâpedari|ناپدری|Family|Easy
173|stepmother|nâmâdari|نامادری|Family|Easy
174|stepson|nâpesari|ناپسری|Family|Easy
175|stepdaughter|nâdokhtari|نادختری|Family|Easy
176|stepbrother|nâbarâdari|نابرادری|Family|Easy
177|stepsister|nâkhwâhari|ناخواهری|Family|Easy
178|consanguineous|tani|تنی|Family|Easy
179|non-consanguineous|nâtani|ناتنی|Family|Easy
180|adoptive father|pedarkhwânde|پدرخوانده|Family|Easy
181|adoptive mother|mâdarkhwânde|مادرخوانده|Family|Easy
182|adoptive son|pesarkhwânde|پسرخوانده|Family|Easy
183|adoptive daughter|dokhtarkhwânde|دخترخوانده|Family|Easy
184|adoptive brother|barâdarkhwânde|برادرخوانده|Family|Easy
185|adoptive sister|khwâharkhwânde|خواهرخوانده|Family|Easy
186|What is your favorite pastime?|sargarmī-e mored-e alāqe-ye shomā chīye?|سرگرمی مورد علاقه شما چیه؟|Personal Questions|Easy
187|What is your telephone/cell phone number?|shomāre telephon/ telephon-e hamrāh-e shomā chande?|شماره تلفن/تلفن همراه شما چنده؟|Personal Questions|Easy
188|What grade are you in?|kelās-e chandomī?|کلاس چندمی؟|Personal Questions|Easy
189|How do you spell your last name?|fāmīl-e shomā rā chetorī mīnevīsand?|فامیل شما را چطوری می نویسند؟|Personal Questions|Easy
190|How many siblings do you have?|chand tā khāhar vā barādar dārīd?|چند تا خواهر و برادر دارید؟|Personal Questions|Easy
191|Where?|kojā?|کجا؟|Personal Questions|Easy
192|When?|kay?|کِی؟|Personal Questions|Easy
193|Who? What?|che kasī?/ kī che?|چه کسی؟/ کی؟ چه؟|Personal Questions|Easy
194|How?|chegone?|چگونه؟|Personal Questions|Easy
195|Which?|kodām?|کدام؟|Personal Questions|Easy
196|Why?|cherā?|چرا؟|Personal Questions|Easy
197|How many?|chand tā?|چند تا؟|Personal Questions|Easy
198|to listen|gosh dādan|گوش دادن|Pastimes|Easy
199|music|mūzīk|موزیک|Pastimes|Easy
200|to sing|āvāz khādan|آواز خواندن|Pastimes|Easy
201|to dance|raqsīdan|رقصیدن|Pastimes|Easy
202|to read|khāndan/motale’ kardan|خواندن/مطالعه کردن|Pastimes|Easy
203|to study|dars khāndan|درس خواندن|Pastimes|Easy
204|to stay at home|dar khane māndan|در خانه ماندن|Pastimes|Easy
205|to like|dūst dāshtan|دوست داشتن|Pastimes|Easy
206|to watch television|televīzyon tamāshā kardan|تلویزیون تماشا کردن|Pastimes|Easy
207|to telephone|telefon zadan/ telefon kardan|تلفن زدن/ تلفن کردن|Pastimes|Easy
208|to speak|sohbat kardan/ harf zadan|صحبت کردن/ حرف زدن|Pastimes|Easy
209|to play sports|varzesh kardan|ورزش کردن|Pastimes|Easy
210|tennis|tenīs|تنیس|Pastimes|Easy
211|soccer|fotbāl|فوتبال|Pastimes|Easy
212|basketball|basketbāl|بسکتبال|Pastimes|Easy
213|volleyball|vālībāl|والیبال|Pastimes|Easy
214|to play the guitar|gītār zadan|گیتار زدن|Pastimes|Easy
215|piano|pīyāno|پیانو|Pastimes|Easy
216|violin|vīyolon|ویولُن|Pastimes|Easy
217|dulcimer|santūr|سنتور|Pastimes|Easy
218|to swim|shenā kardan|شنا کردن|Pastimes|Easy
219|to work|kār kardan|کار کردن|Pastimes|Easy
220|to travel|safar kardan/ mosāferat kardan|سفرکردن/ مسافرت کردن|Pastimes|Easy
221|walking|pīyāderavī|پیاده روی|Pastimes|Easy
222|boating|qāyeqrānī|قایق رانی|Pastimes|Easy
223|gardening|bāqbānī|باغبانی|Pastimes|Easy
224|to introduce|moarefī kardan|معرفی کردن|Pastimes|Easy
225|Where were you born?|kojā bedonyā ūmadīd?|کجا بدنیا آمدید؟|Continents and Countries|Easy
226|North America|āmrīkāy-e shomālī|آمریکای شمالی|Continents and Countries|Easy
227|Canada|kānādā|کانادا|Continents and Countries|Easy
228|United States|āmrīkā|آمریکا|Continents and Countries|Easy
229|Mexico|mekzīk|مکزیک|Continents and Countries|Easy
230|Africa|āfrīqā|آفریقا|Continents and Countries|Easy
231|Algeria|aljazīre|الجزیره|Continents and Countries|Easy
232|Egypt|mesr|مصر|Continents and Countries|Easy
233|South Africa|āfrīqāy-e jonobī|آفریقای جنوبی|Continents and Countries|Easy
234|Morocco|marākesh|مراکش|Continents and Countries|Easy
235|South America|āmrīkāy-e jonobī|آمریکای جنوبی|Continents and Countries|Easy
236|Brazil|berezīl|برزیل|Continents and Countries|Easy
237|Peru|perū|پرو|Continents and Countries|Easy
238|Argentina|ārzhāntīn|آرژانتین|Continents and Countries|Easy
239|Europe|orūpā|اروپا|Continents and Countries|Easy
240|England|engelīs/engelestān|انگلیس/انگلستان|Continents and Countries|Easy
241|France|belzhīk|فرانسه|Continents and Countries|Easy
242|Belgium|belzhīk|بلژیک|Continents and Countries|Easy
243|Italy|ītālīyā|ایتالیا|Continents and Countries|Easy
244|Germany|ālmān|آلمان|Continents and Countries|Easy
245|Spain|espānīyā|اسپانیا|Continents and Countries|Easy
246|Switzerland|sūīs|سویس|Continents and Countries|Easy
247|Asia|āsīyā|آسیا|Continents and Countries|Easy
248|China|chīn|چین|Continents and Countries|Easy
249|Japan|zhāpon|ژاپن|Continents and Countries|Easy
250|India|hend/hendostān|هند/هندوستان|Continents and Countries|Easy
251|Afghanistan|afghānestān|افغانستان|Continents and Countries|Easy
252|Turkey|torkīye|ترکیه|Continents and Countries|Easy
253|Tajikistan|tājīkestān|تاجیکستان|Continents and Countries|Easy
254|Pakistan|pākestān|پاکستان|Continents and Countries|Easy
255|Oceania|oqyānūsīye|اقیانوسیه|Continents and Countries|Easy
256|Australia|ostorālīyā|استرالیا|Continents and Countries|Easy
257|Where are you from?|ahl-e kojāīd?|اهل کجایید؟/کجایی هستید؟|Nationalities and Languages|Easy
258|What is the French people’s language?|zabān-e mardom-e farānse chīst?|زبان مردم فرانسه چیست؟|Nationalities and Languages|Easy
259|French|farānsavī|فرانسوی|Nationalities and Languages|Easy
260|Iranian|īrānī|ایرانی |Nationalities and Languages|Easy
261|Farsi|fārsī|فارسی|Nationalities and Languages|Easy
262|American|āmrīkāī|آمریکایی |Nationalities and Languages|Easy
263|(American or British) English|englīsī|انگلیسی|Nationalities and Languages|Easy
264|Italian|ītālīyāī|ایتالیایی|Nationalities and Languages|Easy
265|German|ālmānī|آلمانی|Nationalities and Languages|Easy
266|British|englīsī|انگلیسی|Nationalities and Languages|Easy
267|Spanish (origin)|espānīyaī|اسپانیای|Nationalities and Languages|Easy
268|Spanish (language)|espānyolī|اسپانیولی|Nationalities and Languages|Easy
269|Japanese|zhāponī|ژاپنی|Nationalities and Languages|Easy
270|Arab|arab|عرب |Nationalities and Languages|Easy
271|Arabic|arabī|عربی|Nationalities and Languages|Easy
272|Indian|hendī|هندی|Nationalities and Languages|Easy
273|Turkish (origin)|tork|ترک |Nationalities and Languages|Easy
274|Turkish (language)|torkī|ترکی|Nationalities and Languages|Easy
275|Egyptian (origin)|mesrī|مصری|Nationalities and Languages|Easy
276|Chinese|chīnī|چینی|Nationalities and Languages|Easy
277|Pakistani|pākestānī|پاکستانی|Nationalities and Languages|Easy
278|Urdu|ordū|اردو|Nationalities and Languages|Easy
279|Afghan (origin)|afghānī|افغانی|Nationalities and Languages|Easy
280|Dari|darī|دری|Nationalities and Languages|Easy
281|Russian|rūsī|روسی|Nationalities and Languages|Easy
282|Yellow|zard|زرد|Colors|Easy
283|White|sefīd|سفید|Colors|Easy
284|Pink|sūratī|صورتی|Colors|Easy
285|Red|qermez|قرمز|Colors|Easy
286|Orange|nāranjī|نارنجی|Colors|Easy
287|Green|sabz|سبز|Colors|Easy
288|Blue|ābī|آبی|Colors|Easy
289|Violet|banafsh|بنفش|Colors|Easy
290|Silver|noqreī|نقره ای|Colors|Easy
291|Brown|qahveī|قهوه ای|Colors|Easy
292|Gold|talāī|طلایی|Colors|Easy
293|Black|sīyāh/meshkī|سیاه یا مشکی|Colors|Easy
294|Grey|khākestarī|خاکستری|Colors|Easy
295|fruit|mive|میوه||Easy
296|plum|âlu|آلو||Easy
297|mango|anbe|انبه|Fruits|Easy
298|pomegranate|anār|انار|Fruits|Easy
299|pineapple|ānānās|آناناس|Fruits|Easy
300|sour cherry|ālbālū|آلبالو|Fruits|Easy
301|raspberry|tameshk|تمشک|Fruits|Easy
302|orange|porteqāl|پرتقال|Fruits|Easy
303|quīnce|beh|به|Fruits|Easy
304|grape|angūr|انگور|Fruits|Easy
305|apricot|zardālū|زردآلو|Fruits|Easy
306|melon|kharboze|خربزه|Fruits|Easy
307|strawberry|tūtfarangī|توت فرنگی|Fruits|Easy
308|berry, mulberry|tūt|توت|Fruits|Easy
309|nectarine|shalīl|شلیل|Fruits|Easy
310|blackberry|shāhtūt|شاه توت|Fruits|Easy
311|apple|sīb|سیب|Fruits|Easy
312|barberry|zereshk|زرشک|Fruits|Easy
313|banana|moz|موز|Fruits|Easy
314|cherry|gīlās|گیلاس|Fruits|Easy
315|plum|ālū|آلو|Fruits|Easy
316|pear|golābī|گلابی|Fruits|Easy
317|watermelon|hendavāne|هندوانه|Fruits|Easy
318|peach|holū|هلو|Fruits|Easy
319|tangerine|nārangī|نارنگی|Fruits|Easy
320|onion|pīyāz|پیاز|Vegetables & Herbs|Easy
321|pennyroyal|pone|پونه|Vegetables & Herbs|Easy
322|eggplant|bādemjān|بادمجان|Vegetables & Herbs|Easy
323|spinach|esfanāj|اسفناج|Vegetables & Herbs|Easy
324|parsley|jafarī|جعفری|Vegetables & Herbs|Easy
325|tarragon|tarkhān|ترخان|Vegetables & Herbs|Easy
326|radish|torobche|تربچه|Vegetables & Herbs|Easy
327|green onion|pīyāzche|پیازچه|Vegetables & Herbs|Easy
328|basil|reyhān|ریحان|Vegetables & Herbs|Easy
329|corn|zorrat or balal|ذرّت|Vegetables & Herbs|Easy
330|cucumber|khīyār|خیار|Vegetables & Herbs|Easy
331|beet|choghondar|چغندر|Vegetables & Herbs|Easy
332|turnip|shevīd|شوید|Vegetables & Herbs|Easy
333|garlic|sīr|سیر|Vegetables & Herbs|Easy
334|potato|sībzamīnī|سیب زمینی|Vegetables & Herbs|Easy
335|lettuce|kāhū|کاهو|Vegetables & Herbs|Easy
336|mushroom|qārch|قارچ|Vegetables & Herbs|Easy
337|bell pepper|felfeldolmeī|فلفل دلمه ایی|Vegetables & Herbs|Easy
338|pepper|felfel|فلفل|Vegetables & Herbs|Easy
339|cabbage|kalam|کلم|Vegetables & Herbs|Easy
340|celery|karafs|کرفس|Vegetables & Herbs|Easy
341|pumpkin|kadūtanbal|کدو تنبل|Vegetables & Herbs|Easy
342|zucchini, squash|kadū|کدو|Vegetables & Herbs|Easy
343|green bean|lūbīyāsabz|لوبیا سبز|Vegetables & Herbs|Easy
344|tomato|gojefarangī|گوجه فرنگی|Vegetables & Herbs|Easy
345|cauliflower|golkalam|گل کلم|Vegetables & Herbs|Easy
346|coriander|geshnīz|گشنیز|Vegetables & Herbs|Easy
347|mint|nanā|نعناع|Vegetables & Herbs|Easy
348|peas, snow peas|nokhodfarangī|نخود فرنگی|Vegetables & Herbs|Easy
349|asparagus|mārchūbe|مارچوبه|Vegetables & Herbs|Easy
350|lemon, lime|līmū|لیمو|Vegetables & Herbs|Easy
351|carrot|havīj|هویج|Vegetables & Herbs|Easy
352|bread|nān|نان|Processed Foods|Easy
353|cheese|panīr|پنیر|Processed Foods|Easy
354|butter|kare|کره|Processed Foods|Easy
355|milk|shīr|شیر|Processed Foods|Easy
356|yoghurt|māst|ماست|Processed Foods|Easy
357|egg|tokhm-e morgh|تخم مرغ|Processed Foods|Easy
358|three-minute egg|okhm-e morgh-e asalī|تخم مرغ عسلی|Processed Foods|Easy
359|sunny side up eggs|nīmrū|نیمرو|Processed Foods|Easy
360|hard boiled egg|tokhm-e morgh-e ābpaz|تخم مرغ آب پز|Processed Foods|Easy
361|scrambled eggs|khāgīne|خاگینه|Processed Foods|Easy
362|omelet|omlet|املت|Processed Foods|Easy
363|olive|zeytūn|زیتون|Processed Foods|Easy
364|fish|māhī|ماهی|Processed Foods|Easy
365|sardines|sārdīn|ساردین|Processed Foods|Easy
366|shrimp, prawn|meygū|میگو|Processed Foods|Easy
367|tuna|ton-e māhī|تن ماهی|Processed Foods|Easy
368|beef|gūsht-e gāv|گوشت گاو|Processed Foods|Easy
369|lamb|gūsht-e gūsfand|گوشت گوسفند|Processed Foods|Easy
370|shwarma|kabāb-e torkī|کباب ترکی|Processed Foods|Easy
371|chicken, hen|morgh|مرغ|Processed Foods|Easy
372|sandwich|sāndevīch|ساندویچ|Processed Foods|Easy
373|hot dog|sosīs|سوسیس|Processed Foods|Easy
374|hamburger|hāmberger|هامبرگر|Processed Foods|Easy
375|soup|sūp|سوپ|Processed Foods|Easy
376|pizza|pītzā|پیتزا|Processed Foods|Easy
377|macaroni, pasta|mākārūnī|ماکارونی|Processed Foods|Easy
378|potato chips|chīps|چیپس|Processed Foods|Easy
379|French fries|sībzamīnī-ye sorkhkarde|سیب زمینی سرخ کرده|Processed Foods|Easy
380|black tea|chāy|چای|Drinks & Sweets|Easy
381|coffee|qahve|قهوه|Drinks & Sweets|Easy
382|sugar|shekar|شکر|Drinks & Sweets|Easy
383|sugar cube’|qand|قند|Drinks & Sweets|Easy
384|water|āb|آب|Drinks & Sweets|Easy
385|soft drink|nūshābe|نوشابه|Drinks & Sweets|Easy
386|hard candy|ābnabāt|آب نبات|Drinks & Sweets|Easy
387|chocolate|shokolāt|شکلات|Drinks & Sweets|Easy
388|jam|morabbā|مربّا|Drinks & Sweets|Easy
389|ice cream|bastanī|بستنی|Drinks & Sweets|Easy
390|jello|zhele|ژله|Drinks & Sweets|Easy
391|lollipop|ābnabātchūbī|آب نبات چوبی|Drinks & Sweets|Easy
392|cake|keyk|کیک|Drinks & Sweets|Easy
393|cookie, biscuit|bīskūīt|بیسکویت|Drinks & Sweets|Easy
394|donut|donāt|دونات|Drinks & Sweets|Easy
395|plate|boshqāb|بشقاب|At the Table|Easy
396|bowl|kāse|کاسه|At the Table|Easy
397|fork|changāl|چنگال|At the Table|Easy
398|spoon|qāshoq|قاشق|At the Table|Easy
399|knife|kārd|کارد|At the Table|Easy
400|glass|līvān|لیوان|At the Table|Easy
401|cup|fenjān|فنجان|At the Table|Easy
402|kitchen|āshpazkhane|آشپزخانه|At the Table|Easy
403|cooking|āshpazī|آشپزی|At the Table|Easy
404|meal|ghazā|غذا|At the Table|Easy
405|breakfast|sobhāne|صبحانه|At the Table|Easy
406|lunch|nāhār|ناهار|At the Table|Easy
407|dinner, supper|shām|شام|At the Table|Easy
408|to cook|āshpazī kardan|آشپزی کردن|At the Table|Easy
409|to cook|ghazā dorost kardan|غذا درست کردن|At the Table|Easy
410|to cook|ghazā pokhtan|غذا پختن|At the Table|Easy
411|to eat|khordan|خوردن|At the Table|Easy
412|to have a meal|ghazā khordan|غذا خوردن|At the Table|Easy
413|to grill|kabāb kardan|کباب کردن|At the Table|Easy
414|to invite to dinner|be shām davat kardan|به شام دعوت کردن|At the Table|Easy
415|to do the dishes|zarf shostan|ظرف شستن|At the Table|Easy
416|to go groccery shopping|kharīd-e mavād-e ghazaī|خرید مواد غذایی|At the Table|Easy
417|to have time|vaqt dāshtan|وقت داشتن|At the Table|Easy
418|to want|khāstan|خواستن|At the Table|Easy
419|to come|āmadan|آمدن|At the Table|Easy
420|to see|dīdan|دیدن|At the Table|Easy
421|Accounting|hesābdāri|حسابداری|Fields of Study|Easy
422|Anthropology|ensānshenāsi|انسان‌شناسی|Fields of Study|Easy
423|Art History|tārikh-e honar|تاریخ هنر|Fields of Study|Easy
424|Biology|biolozhi|بیولوژی|Fields of Study|Easy
425|Biology|zistshenāsi|زیست‌شناسی|Fields of Study|Easy
426|Business|bāzargāni|بازرگانی|Fields of Study|Easy
427|Chemistry|shimi|شیمی|Fields of Study|Easy
428|Computer Science|‘olum-e kāmpyutar|علوم کامپیوتر|Fields of Study|Easy
429|Education|ta’lim o tarbiyat|تعلیم و تربیت|Fields of Study|Easy
430|Engineering|mohandesi|مهندسی|Fields of Study|Easy
431|Electrical Engineering|mohandesi-ye barq|مهندسی برق|Fields of Study|Easy
432|Mechanical Engineering|mohandesi-ye mekānik|مهندسی مکانیک|Fields of Study|Easy
433|Petroleum Engineering|mohandesi-ye naft|مهندسی نفت|Fields of Study|Easy
434|English|engelesi|انگلسی|Fields of Study|Easy
435|History|tarikh|تاریخ|Fields of Study|Easy
