English,Pinglish,Farsi,Category,Difficulty
to swim,shenā kardan,شنا کردن,Pastimes,
to work,kār kardan,کار کردن,Pastimes,
to travel,safar kardan/ mosāferat kardan,سفرکردن/ مسافرت کردن,Pastimes,
walking,pīyāderavī,پیاده روی,Pastimes,
boating,qāyeqrānī,قایق رانی,Pastimes,
gardening,bāqbānī,باغبانی,Pastimes,
to introduce,moarefī kardan,معرفی کردن,Pastimes,
Where were you born?,kojā bedonyā ūmadīd?,کجا بدنیا آمدید؟,Continents and Countries,
North America,āmrīkāy-e shomālī,آمریکای شمالی,Continents and Countries,
Canada,kānādā,کانادا,Continents and Countries,
United States,āmrīkā,آمریکا,Continents and Countries,
Mexico,mekzīk,مکزیک,Continents and Countries,
Africa,āfrīqā,آفریقا,Continents and Countries,
Algeria,aljazīre,الجزیره,Continents and Countries,
Egypt,mesr,مصر,Continents and Countries,
South Africa,āfrīqāy-e jonobī,آفریقای جنوبی,Continents and Countries,
Morocco,marākesh,مراکش,Continents and Countries,
South America,āmrīkāy-e jonobī,آمریکای جنوبی,Continents and Countries,
Brazil,berezīl,برزیل,Continents and Countries,
Peru,perū,پرو,Continents and Countries,
Argentina,ārzhāntīn,آرژانتین,Continents and Countries,
Europe,orūpā,اروپا,Continents and Countries,
England,engelīs/engelestān,انگلیس/انگلستان,Continents and Countries,
France,belzhīk,فرانسه,Continents and Countries,
Belgium,belzhīk,بلژیک,Continents and Countries,
Italy,ītālīyā,ایتالیا,Continents and Countries,
Germany,ālmān,آلمان,Continents and Countries,
Spain,espānīyā,اسپانیا,Continents and Countries,
Switzerland,sūīs,سویس,Continents and Countries,
Asia,āsīyā,آسیا,Continents and Countries,
China,chīn,چین,Continents and Countries,
Japan,zhāpon,ژاپن,Continents and Countries,
India,hend/hendostān,هند/هندوستان,Continents and Countries,
Afghanistan,afghānestān,افغانستان,Continents and Countries,
Turkey,torkīye,ترکیه,Continents and Countries,
Tajikistan,tājīkestān,تاجیکستان,Continents and Countries,
Pakistan,pākestān,پاکستان,Continents and Countries,
Oceania,oqyānūsīye,اقیانوسیه,Continents and Countries,
Australia,ostorālīyā,استرالیا,Continents and Countries,
Where are you from?,ahl-e kojāīd?,اهل کجایید؟/کجایی هستید؟,Nationalities and Languages,
What is the French people’s language?,zabān-e mardom-e farānse chīst?,زبان مردم فرانسه چیست؟,Nationalities and Languages,
French,farānsavī,فرانسوی,Nationalities and Languages,
Iranian,īrānī,ایرانی ,Nationalities and Languages,
Farsi,fārsī,فارسی,Nationalities and Languages,
American,āmrīkāī,آمریکایی ,Nationalities and Languages,
(American or British) English,englīsī,انگلیسی,Nationalities and Languages,
Italian,ītālīyāī,ایتالیایی,Nationalities and Languages,
German,ālmānī,آلمانی,Nationalities and Languages,
British,englīsī,انگلیسی,Nationalities and Languages,
Spanish (origin),espānīyaī,اسپانیای,Nationalities and Languages,
Spanish (language),espānyolī,اسپانیولی,Nationalities and Languages,
Japanese,zhāponī,ژاپنی,Nationalities and Languages,
Arab,arab,عرب ,Nationalities and Languages,
Arabic,arabī,عربی,Nationalities and Languages,
Indian,hendī,هندی,Nationalities and Languages,
Turkish (origin),tork,ترک ,Nationalities and Languages,
Turkish (language),torkī,ترکی,Nationalities and Languages,
Egyptian (origin),mesrī,مصری,Nationalities and Languages,
Chinese,chīnī,چینی,Nationalities and Languages,
Pakistani,pākestānī,پاکستانی,Nationalities and Languages,
Urdu,ordū,اردو,Nationalities and Languages,
Afghan (origin),afghānī,افغانی,Nationalities and Languages,
Dari,darī,دری,Nationalities and Languages,
Russian,rūsī,روسی,Nationalities and Languages,
Yellow,zard,زرد,Colors,
White,sefīd,سفید,Colors,
Pink,sūratī,صورتی,Colors,
Red,qermez,قرمز,Colors,
Orange,nāranjī,نارنجی,Colors,
Green,sabz,سبز,Colors,
Blue,ābī,آبی,Colors,
Violet,banafsh,بنفش,Colors,
Silver,noqreī,نقره ای,Colors,
Brown,qahveī,قهوه ای,Colors,
Gold,talāī,طلایی,Colors,
Black,sīyāh/meshkī,سیاه یا مشکی,Colors,
Grey,khākestarī,خاکستری,Colors,
fruit,mive,میوه,,
plum,âlu,آلو,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
mango,anbe,انبه,Fruits,
pomegranate,anār,انار,Fruits,
pineapple,ānānās,آناناس,Fruits,
sour cherry,ālbālū,آلبالو,Fruits,
raspberry,tameshk,تمشک,Fruits,
orange,porteqāl,پرتقال,Fruits,
quīnce,beh,به,Fruits,
grape,angūr,انگور,Fruits,
apricot,zardālū,زردآلو,Fruits,
melon,kharboze,خربزه,Fruits,
strawberry,tūtfarangī,توت فرنگی,Fruits,
"berry, mulberry",tūt,توت,Fruits,
nectarine,shalīl,شلیل,Fruits,
blackberry,shāhtūt,شاه توت,Fruits,
apple,sīb,سیب,Fruits,
barberry,zereshk,زرشک,Fruits,
banana,moz,موز,Fruits,
cherry,gīlās,گیلاس,Fruits,
plum,ālū,آلو,Fruits,
pear,golābī,گلابی,Fruits,
watermelon,hendavāne,هندوانه,Fruits,
peach,holū,هلو,Fruits,
tangerine,nārangī,نارنگی,Fruits,
onion,pīyāz,پیاز,Vegetables & Herbs,
pennyroyal,pone,پونه,Vegetables & Herbs,
eggplant,bādemjān,بادمجان,Vegetables & Herbs,
spinach,esfanāj,اسفناج,Vegetables & Herbs,
parsley,jafarī,جعفری,Vegetables & Herbs,
tarragon,tarkhān,ترخان,Vegetables & Herbs,
radish,torobche,تربچه,Vegetables & Herbs,
green onion,pīyāzche,پیازچه,Vegetables & Herbs,
basil,reyhān,ریحان,Vegetables & Herbs,
corn,zorrat or balal,ذرّت,Vegetables & Herbs,
cucumber,khīyār,خیار,Vegetables & Herbs,
beet,choghondar,چغندر,Vegetables & Herbs,
turnip,shevīd,شوید,Vegetables & Herbs,
garlic,sīr,سیر,Vegetables & Herbs,
potato,sībzamīnī,سیب زمینی,Vegetables & Herbs,
lettuce,kāhū,کاهو,Vegetables & Herbs,
mushroom,qārch,قارچ,Vegetables & Herbs,
bell pepper,felfeldolmeī,فلفل دلمه ایی,Vegetables & Herbs,
pepper,felfel,فلفل,Vegetables & Herbs,
cabbage,kalam,کلم,Vegetables & Herbs,
celery,karafs,کرفس,Vegetables & Herbs,
pumpkin,kadūtanbal,کدو تنبل,Vegetables & Herbs,
"zucchini, squash",kadū,کدو,Vegetables & Herbs,
green bean,lūbīyāsabz,لوبیا سبز,Vegetables & Herbs,
tomato,gojefarangī,گوجه فرنگی,Vegetables & Herbs,
cauliflower,golkalam,گل کلم,Vegetables & Herbs,
coriander,geshnīz,گشنیز,Vegetables & Herbs,
mint,nanā,نعناع,Vegetables & Herbs,
"peas, snow peas",nokhodfarangī,نخود فرنگی,Vegetables & Herbs,
asparagus,mārchūbe,مارچوبه,Vegetables & Herbs,
"lemon, lime",līmū,لیمو,Vegetables & Herbs,
carrot,havīj,هویج,Vegetables & Herbs,
bread,nān,نان,Processed Foods,
cheese,panīr,پنیر,Processed Foods,
butter,kare,کره,Processed Foods,
milk,shīr,شیر,Processed Foods,
yoghurt,māst,ماست,Processed Foods,
egg,tokhm-e morgh,تخم مرغ,Processed Foods,
three-minute egg,okhm-e morgh-e asalī,تخم مرغ عسلی,Processed Foods,
sunny side up eggs,nīmrū,نیمرو,Processed Foods,
hard boiled egg,tokhm-e morgh-e ābpaz,تخم مرغ آب پز,Processed Foods,
scrambled eggs,khāgīne,خاگینه,Processed Foods,
omelet,omlet,املت,Processed Foods,
olive,zeytūn,زیتون,Processed Foods,
fish,māhī,ماهی,Processed Foods,
sardines,sārdīn,ساردین,Processed Foods,
"shrimp, prawn",meygū,میگو,Processed Foods,
tuna,ton-e māhī,تن ماهی,Processed Foods,
beef,gūsht-e gāv,گوشت گاو,Processed Foods,
lamb,gūsht-e gūsfand,گوشت گوسفند,Processed Foods,
shwarma,kabāb-e torkī,کباب ترکی,Processed Foods,
"chicken, hen",morgh,مرغ,Processed Foods,
sandwich,sāndevīch,ساندویچ,Processed Foods,
hot dog,sosīs,سوسیس,Processed Foods,
hamburger,hāmberger,هامبرگر,Processed Foods,
soup,sūp,سوپ,Processed Foods,
pizza,pītzā,پیتزا,Processed Foods,
"macaroni, pasta",mākārūnī,ماکارونی,Processed Foods,
potato chips,chīps,چیپس,Processed Foods,
French fries,sībzamīnī-ye sorkhkarde,سیب زمینی سرخ کرده,Processed Foods,
black tea,chāy,چای,Drinks & Sweets,
coffee,qahve,قهوه,Drinks & Sweets,
sugar,shekar,شکر,Drinks & Sweets,
sugar cube’,qand,قند,Drinks & Sweets,
water,āb,آب,Drinks & Sweets,
soft drink,nūshābe,نوشابه,Drinks & Sweets,
hard candy,ābnabāt,آب نبات,Drinks & Sweets,
chocolate,shokolāt,شکلات,Drinks & Sweets,
jam,morabbā,مربّا,Drinks & Sweets,
ice cream,bastanī,بستنی,Drinks & Sweets,
jello,zhele,ژله,Drinks & Sweets,
lollipop,ābnabātchūbī,آب نبات چوبی,Drinks & Sweets,
cake,keyk,کیک,Drinks & Sweets,
"cookie, biscuit",bīskūīt,بیسکویت,Drinks & Sweets,
donut,donāt,دونات,Drinks & Sweets,
plate,boshqāb,بشقاب,At the Table,
bowl,kāse,کاسه,At the Table,
fork,changāl,چنگال,At the Table,
spoon,qāshoq,قاشق,At the Table,
knife,kārd,کارد,At the Table,
glass,līvān,لیوان,At the Table,
cup,fenjān,فنجان,At the Table,
kitchen,āshpazkhane,آشپزخانه,At the Table,
cooking,āshpazī,آشپزی,At the Table,
meal,ghazā,غذا,At the Table,
breakfast,sobhāne,صبحانه,At the Table,
lunch,nāhār,ناهار,At the Table,
"dinner, supper",shām,شام,At the Table,
to cook,āshpazī kardan,آشپزی کردن,At the Table,
to cook,ghazā dorost kardan,غذا درست کردن,At the Table,
to cook,ghazā pokhtan,غذا پختن,At the Table,
to eat,khordan,خوردن,At the Table,
to have a meal,ghazā khordan,غذا خوردن,At the Table,
to grill,kabāb kardan,کباب کردن,At the Table,
to invite to dinner,be shām davat kardan,به شام دعوت کردن,At the Table,
to do the dishes,zarf shostan,ظرف شستن,At the Table,
to go groccery shopping,kharīd-e mavād-e ghazaī,خرید مواد غذایی,At the Table,
to have time,vaqt dāshtan,وقت داشتن,At the Table,
to want,khāstan,خواستن,At the Table,
to come,āmadan,آمدن,At the Table,
to see,dīdan,دیدن,At the Table,
Accounting,hesābdāri,حسابداری,Fields of Study,
Anthropology,ensānshenāsi,انسان‌شناسی,Fields of Study,
Art History,tārikh-e honar,تاریخ هنر,Fields of Study,
Biology,biolozhi,بیولوژی,Fields of Study,
Biology,zistshenāsi,زیست‌شناسی,Fields of Study,
Business,bāzargāni,بازرگانی,Fields of Study,
Chemistry,shimi,شیمی,Fields of Study,
Computer Science,‘olum-e kāmpyutar,علوم کامپیوتر,Fields of Study,
Education,ta’lim o tarbiyat,تعلیم و تربیت,Fields of Study,
Engineering,mohandesi,مهندسی,Fields of Study,
Electrical Engineering,mohandesi-ye barq,مهندسی برق,Fields of Study,
Mechanical Engineering,mohandesi-ye mekānik,مهندسی مکانیک,Fields of Study,
Petroleum Engineering,mohandesi-ye naft,مهندسی نفت,Fields of Study,
English,engelesi,انگلسی,Fields of Study,
History,tarikh,تاریخ,Fields of Study,
Journalism,ruznāmeh-negāri,روزنامه‌نگاری,Fields of Study,
Library Science,ketābshenāsi,کتاب‌شناسی,Fields of Study,
Linguistics,zabānshenāsi,زبان‌شناسی,Fields of Study,
Mathematics,riāzi,ریاضی,Fields of Study,
Medicine,pezeshki,پزشکی,Fields of Study,
Middle Eastern Studies,khāvar-miāneh shenāsi,خاور‌میانه‌شناسی,Fields of Study,
Persian,fārsi,فارسی,Fields of Study,
Philosophy,felsefeh,فلسفه,Fields of Study,
Physics,fizik,فیزیک,Fields of Study,
"Political Science, Government",‘olum-e siāsi,علوم سیاسی,Fields of Study,
Psychology,ravānshenāsi,روان‌شناسی,Fields of Study,
Sociology,jām’eh shenāsi,جامعه‌شناسی,Fields of Study,
University,dāneshgāh,دانشگاه,On Campus,
School,madreseh,مدرسه,On Campus,
High School,dabirestān,دبیرستان,On Campus,
Elementary School,dabestān,دبستان,On Campus,
Student (college),dāneshjū,دانشجو,On Campus,
Student (pre-college),dāneshāmuz,دانش آموز,On Campus,
Bachelor’s degree,lisāns,لیسانس,On Campus,
Master’s degree,foq-e lisāns,فوق لیسانس,On Campus,
Doctorate,doktorā,دکترا,On Campus,
Lesson,dars,درس,On Campus,
Major,reshteh,رشته,On Campus,
Class,kelās,کلاس,On Campus,
Room,otāq,اتاق,On Campus,
Book,ketāb,کتاب,On Campus,
Pen,qalam,قلم,On Campus,
Pen,khodkār,خودکار,On Campus,
Pencil,medād,مداد,On Campus,
Blackboard,takhte siāh,تخته‌ سیاه,On Campus,
Chalk,gach,گچ,On Campus,
Notebook / Office,daftar,دفتر,On Campus,
Paper,kāghez,کاغذ,On Campus,
"Bag, briefcase",kif,کیف,On Campus,
Teacher,mo’allem,معلَم,On Campus,
Professor,ostād,استاد,On Campus,
"Doctor (i.e., Ph.D.)",doktor,دکتر,On Campus,
Okay,bāsheh,باشه,On Campus,
Okay (more formal),chashp,چشپ,On Campus,
To read,khāndan,خواندن,On Campus,
He reads,mi-khānad,می‌خواند,On Campus,
To study (i.e. review lessons),dars khāndan,درس خواندن,On Campus,
To study (a subject),khāndan,خواندن,On Campus,
We study Persian,fārsi mi-khānim,فارسی می‌خوانیم,On Campus,
To read aloud,boland khāndan,بلند خواندن,On Campus,
To repeat,tekrār kardan,تکرار کردن,On Campus,
To say,goftan,گفتن,On Campus,
They say,mi-gūyand,می‌گویند,On Campus,
Time,vaqt,وقت,Time,
Hour / clock,sā’at,ساعت,Time,
Now,hālā,حالا,Time,
Now,alān,الآن,Time,
Approximately,taqriban,تقریباً,Time,
Exactly,dorost,درست,Time,
What time is it?,sā’at chand-e?,ساعت چنده؟,Time,
It is 4:00,sā’at-e chahār-e,ساعت چهاره,Time,
Minute,daqiqeh,دقیقه,Time,
Second,sānieh,ثانیه,Time,
Half,nim,نیم,Time,
Quarter,rob’,ربع,Time,
Morning,sobh,صبح,Time,
This morning,emruz sobh,امروز صبح,Time,
Night,shab,شب,Time,
Tonight,emshab,امشب,Time,
Late afternoon / early evening,‘asr,عصر,Time,
Afternoon,ba’d az zohr,بعد از ظهر,Time,
Week,hafteh,هفته,Time,
Next week,hafteh-ye digar,هفتهٔ دیگر,Time,
Last week,hafteh-ye pish,هفتهٔ پیش,Time,
Per week,hafteh-i,هفته‌ای,Time,
Day,ruz,روز,Time,
Today,emruz,امروز,Time,
Tomorrow,fardā,فردا,Time,
Yesterday,diruz,دیروز,Time,
Day before yesterday,pariruz,پریروز,Time,
Per day,ruzi,روزی,Time,
Every day,har ruz,هر روز,Time,
Month,māh,ماه,Time,
Year,sāl,سال,Time,
Next year,sāl-e digar,سال دیگر,Time,
Last year,pārsāl,پارسال,Time,
invertebrate,bimohre,بی‌مهره,Animal Classes,
bird,parande,پرنده,Animal Classes,
mammal,pestândâr,پستاندار,Animal Classes,
insect,hashare,حشره,Animal Classes,
reptile,khazande,خزنده,Animal Classes,
crustacean,sakhtpust,سخت‌پوست,Animal Classes,
fish,mâhi,ماهی,Animal Classes,
vertebrate,mohredâr,مهره‌دار,Animal Classes,
mollusk,narmtan,نرم‌تن,Animal Classes,
duck,ordak,اردک,Birds,
nightingale,bolbol,بلبل,Birds,
turkey,bughalamun,بوقلمون,Birds,
penguin,panguan,پنگوئن,Birds,
