English,Pinglish,Farsi,Category,Difficulty
Turkish (origin),tork,ترک ,Nationalities and Languages,
Turkish (language),torkī,ترکی,Nationalities and Languages,
Egyptian (origin),mesrī,مصری,Nationalities and Languages,
Chinese,chīnī,چینی,Nationalities and Languages,
Pakistani,pākestānī,پاکستانی,Nationalities and Languages,
Urdu,ordū,اردو,Nationalities and Languages,
Afghan (origin),afghānī,افغانی,Nationalities and Languages,
Dari,darī,دری,Nationalities and Languages,
Russian,rūsī,روسی,Nationalities and Languages,
Yellow,zard,زرد,Colors,
White,sefīd,سفید,Colors,
Pink,sūratī,صورتی,Colors,
Red,qermez,قرمز,Colors,
Orange,nāranjī,نارنجی,Colors,
Green,sabz,سبز,Colors,
Blue,ābī,آبی,Colors,
Violet,banafsh,بنفش,Colors,
Silver,noqreī,نقره ای,Colors,
Brown,qahveī,قهوه ای,Colors,
Gold,talāī,طلایی,Colors,
Black,sīyāh/meshkī,سیاه یا مشکی,Colors,
Grey,khākestarī,خاکستری,Colors,
mango,anbe,انبه,Fruits,
pomegranate,anār,انار,Fruits,
pineapple,ānānās,آناناس,Fruits,
sour cherry,ālbālū,آلبالو,Fruits,
raspberry,tameshk,تمشک,Fruits,
orange,porteqāl,پرتقال,Fruits,
quīnce,beh,به,Fruits,
grape,angūr,انگور,Fruits,
apricot,zardālū,زردآلو,Fruits,
melon,kharboze,خربزه,Fruits,
strawberry,tūtfarangī,توت فرنگی,Fruits,
"berry, mulberry",tūt,توت,Fruits,
nectarine,shalīl,شلیل,Fruits,
blackberry,shāhtūt,شاه توت,Fruits,
apple,sīb,سیب,Fruits,
barberry,zereshk,زرشک,Fruits,
banana,moz,موز,Fruits,
cherry,gīlās,گیلاس,Fruits,
plum,ālū,آلو,Fruits,
pear,golābī,گلابی,Fruits,
watermelon,hendavāne,هندوانه,Fruits,
peach,holū,هلو,Fruits,
tangerine,nārangī,نارنگی,Fruits,
onion,pīyāz,پیاز,Vegetables & Herbs,
pennyroyal,pone,پونه,Vegetables & Herbs,
eggplant,bādemjān,بادمجان,Vegetables & Herbs,
spinach,esfanāj,اسفناج,Vegetables & Herbs,
parsley,jafarī,جعفری,Vegetables & Herbs,
tarragon,tarkhān,ترخان,Vegetables & Herbs,
radish,torobche,تربچه,Vegetables & Herbs,
green onion,pīyāzche,پیازچه,Vegetables & Herbs,
basil,reyhān,ریحان,Vegetables & Herbs,
corn,zorrat or balal,ذرّت,Vegetables & Herbs,
cucumber,khīyār,خیار,Vegetables & Herbs,
beet,choghondar,چغندر,Vegetables & Herbs,
turnip,shevīd,شوید,Vegetables & Herbs,
garlic,sīr,سیر,Vegetables & Herbs,
potato,sībzamīnī,سیب زمینی,Vegetables & Herbs,
lettuce,kāhū,کاهو,Vegetables & Herbs,
mushroom,qārch,قارچ,Vegetables & Herbs,
bell pepper,felfeldolmeī,فلفل دلمه ایی,Vegetables & Herbs,
pepper,felfel,فلفل,Vegetables & Herbs,
cabbage,kalam,کلم,Vegetables & Herbs,
celery,karafs,کرفس,Vegetables & Herbs,
pumpkin,kadūtanbal,کدو تنبل,Vegetables & Herbs,
"zucchini, squash",kadū,کدو,Vegetables & Herbs,
green bean,lūbīyāsabz,لوبیا سبز,Vegetables & Herbs,
tomato,gojefarangī,گوجه فرنگی,Vegetables & Herbs,
cauliflower,golkalam,گل کلم,Vegetables & Herbs,
coriander,geshnīz,گشنیز,Vegetables & Herbs,
mint,nanā,نعناع,Vegetables & Herbs,
"peas, snow peas",nokhodfarangī,نخود فرنگی,Vegetables & Herbs,
asparagus,mārchūbe,مارچوبه,Vegetables & Herbs,
"lemon, lime",līmū,لیمو,Vegetables & Herbs,
carrot,havīj,هویج,Vegetables & Herbs,
,,,Processed Foods,
